UserID,UserName,Artist,Album,Genre,SongTitle,ReviewText,Score,Rating,Sentiment
U001,Ravi,Charles Lloyd ,The Sky Will Still Be There Tomorrow,Post-Bop,The Sky Song,this album is jazzy funky and soulful and is an amazing artist who has segmented himself as a jazz legend. what a great album Huh? Not Bad,93,5,Positive
U002,Neha,Aaron West & The Roaring Twenties ,In Lieu of Flowers,Folk Rock,In Lieu Song,"The perfect conclusion to a story for the ages. n Lieu of Flowers is a masterpiece that not only cements the legacy of the person behind this solo project, Dan Campbell, but also stands as a testament to the beauty music can offer.",93,5,Positive
U003,Sana,The Cure ,Songs of a Lost World,Gothic Rock,Songs of Song,"Songs of a Lost World immerses listeners in a heartbreaking yet cathartic experience, underscoring Robert Smith’s most personal, vulnerable work. Sadness and finality have rarely felt so life-affirming.",93,5,Positive
U004,Arya,Julian Lage ,Speak To Me,Post-Bop,Speak To Song," somehow squared circle of reconciling universal accessibility with once again upping the ante on her vision of pop’s future The ever-shifting tone of Speak to Me asks the listener to keep up with the Lage's quirks and mood swings, but the sum of its parts is quite dazzling.",93,5,Positive
U005,Neha,Charli xcx ,BRAT,Electropop,BRAT Song,"Composer moves from all-hands noir impressionism to a solo acoustic sonata. It’s the most raw and honest version of Charli she’s shown us in a while, a complicated pop figure who’s more than just a party girl.",93,5,Positive
U006,Sana,Fontaines D.C. ,Romance,Indie Rock,Romance Song,"The Dublin outfit’s fourth album is experimental, softens their sound without diluting it, and is absolutely brilliant. Bold, transformative and brilliant, this is Fontaines D.C.'s finest hour",93,5,Positive
U007,Akhil,Bill Ryder-Jones ,Iechyd Da,Singer-Songwriter,Iechyd Da Song,"It is life-affirming; it might be utterly heart-breaking at times, but it happily concludes that life might be sad sometimes, but it is always beautiful. The Wirral singer-songwriter packs this stunning, self-produced opus with clever samples, self-referential lyrics and even a children’s choir.",93,5,Positive
U008,Neha,Ulcerate ,Cutting the Throat of God,Dissonant Death Metal,Cutting the Song,"Forward-thinking, elaborate and expansive and obtusely heavy, Cutting The Throat Of God is yet another masterpiece from a band who seemingly can’t do anything wrong. Abstract, yet riffy… melodic, yet dissonant… Ulcerate treads the line between death metal’s experimental frontier, and its savage foundations.",93,5,Positive
U009,Ravi,Knocked Loose ,You Won't Go Before You're Supposed To,Metalcore,You Won't Song,finest metal albums and should remain so even with more than one-quarter of the year still left. This is not a friendly album. It does not want you to feel happy or satisfied or invigorated.,93,5,Positive
U010,Akhil,Mdou Moctar ,Funeral for Justice,Tishoumaren,Funeral for Song,"they are at the vanguard of death metal and nearly everyone else is playing catchup, for this is moving, riveting, peerless music that stands apart from all crowds. The Nigerien guitarist and his virtuoso band set polemical fury to thrilling musicianship on this no-holds-barred release.",93,5,Positive
U011,Arya,English Teacher ,This Could Be Texas,Indie Rock,This Could Song,"A breath of fresh air in modern guitar music, refusing to be constrained by any genre, This Could Be Texas is proof that English Teacher have already mastered their craft just one album in. A warm and ambitious debut that puts the art in indie-rock.",93,5,Positive
U012,Sana,Fleshgod Apocalypse ,Opera,Symphonic Metal,Opera Song,"Opera is the definitive symphonic death metal album, and it’s likely you’ll struggle to find much better for some time. Opera is full of wonder and excitement at future possibilities.",93,5,Positive
U013,Ravi,Cindy Lee ,Diamond Jubilee,Hypnagogic Pop,Diamond Jubilee Song,"Patrick Flegel’s new double-album, available only on YouTube and GeoCities, sounds like it’s coming from the other room, if not another gauzy galaxy. “Diamond Jubilee” is more than just an album—it’s an experience, a journey into the unknown that challenges our preconceived notions of what music can be.",93,5,Positive
U014,Neha,Uniform ,American Standard,Noise Rock,American Standard Song,"Uniform are really proving that American experimental music can really push itself further. A harrowing look at mental and physical disorder, Uniform's latest finds punishing transcendence in the middle of a crisis",93,5,Positive
U015,Neha,Laura Marling ,Patterns in Repeat,Singer-Songwriter,Patterns in Song,"Everything about this album suggests someone at peace, from the tone of voice to the smoothness of sound and transparency of lyrics. Recorded in her north London home, the album comes alive with sounds of infant gurgles and dog collar jangles.",93,5,Positive
U016,Ravi,Beyoncé ,COWBOY CARTER,Country Pop,COWBOY CARTER Song,"The Texan superstar’s eighth album is a thrilling 27-track journey through and beyond America’s roots music, and it feels like a genuine feast. Ms Carter unlocks yet another infinity stone with a heartfelt, expansive take on country music",93,5,Positive
U017,Ravi,Mabe Fratti ,Sentir Que No Sabes,Art Pop,Sentir Que Song,"The full-blooded and emotionally driven fourth solo album from the avant garde pop cellist is abundantly melodic, constantly surprising and unequivocally fantastic. At multiple points throughout the record, Fratti’s ethereal tones act as a sort of guiding light through the darkness and melancholy of her cinematic soundscapes. Sentir Que No Sabes is a sonic journey the likes of which are rarely seen.",93,5,Positive
U018,Ravi,Nightwish ,Yesterwynde,Symphonic Metal,Yesterwynde Song,"This, finally, is the ultimate expression of Nightwish, a magnum opus that delivers everything this galactic band do best, but expands each aspect further. It's clear that the sextet continues to be a top-tier act, as they're still able to infuse their recognizable recipe with more than enough enthralling melodies, production techniques, and musicianship to achieve style and substance.",93,5,Positive
